entity_id,state,last_changed
sensor.villa_modalita_geofencing,Away (Auto),2026-04-22T07:04:41.949Z
sensor.villa_modalita_geofencing,Home (Auto),2026-04-22T16:48:32.634Z
sensor.villa_modalita_geofencing,Away (Auto),2026-04-24T07:05:28.850Z
sensor.villa_modalita_geofencing,Home (Auto),2026-04-24T17:13:46.644Z
sensor.villa_modalita_geofencing,Away (Auto),2026-04-27T11:29:48.841Z
sensor.villa_modalita_geofencing,Home (Auto),2026-04-27T11:34:50.582Z
sensor.villa_modalita_geofencing,Away (Auto),2026-04-27T11:39:51.819Z
sensor.villa_modalita_geofencing,Home (Auto),2026-04-27T11:44:53.696Z
