entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.studio_s_mts200b_main_channel,auto,2026-08-21T00:03:05.019Z,30.3,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-21T01:38:38.692Z,30.2,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-21T03:08:06.262Z,30.1,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-21T04:00:09.623Z,30.1,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-21T05:05:14.294Z,30,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-21T09:18:25.703Z,29.9,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-21T11:20:22.835Z,29.8,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-21T14:59:53.654Z,29.9,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-21T19:20:04.173Z,29.8,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-21T19:30:07.196Z,29.8,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-21T20:27:09.480Z,29.7,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-21T21:41:37.633Z,29.6,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-21T23:09:08.161Z,29.5,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-22T00:35:26.684Z,29.4,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-22T02:08:08.262Z,29.3,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-22T03:37:35.821Z,29.2,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-22T04:00:09.505Z,29.2,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-22T05:08:33.421Z,29.1,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-22T09:10:55.610Z,29.2,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-22T10:22:30.855Z,29.3,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-22T11:43:51.265Z,29.4,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-22T13:41:08.310Z,29.5,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-22T19:27:47.324Z,29.4,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-22T19:30:07.514Z,29.4,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-22T21:56:38.934Z,29.3,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-22T23:17:55.347Z,29.2,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-23T00:11:36.291Z,29.1,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-23T02:15:13.428Z,29,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-23T04:00:09.576Z,29,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-23T10:06:18.597Z,29.1,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-23T10:56:45.489Z,29.2,cooling,,,20
climate.studio_s_mts200b_main_channel,unavailable,2026-08-23T12:50:43.362Z
climate.studio_s_mts200b_main_channel,auto,2026-08-23T13:14:44.319Z,29.3,cooling,,,20
climate.studio_s_mts200b_main_channel,unavailable,2026-08-23T13:30:43.360Z
climate.studio_s_mts200b_main_channel,auto,2026-08-23T14:44:48.056Z,29.3,cooling,,,20
