entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
sensor.corridoio_temperatura_2,18.693986760597223,2026-01-03T17:00:00.000Z
sensor.corridoio_temperatura_2,18.753386069125003,2026-01-03T18:00:00.000Z
sensor.corridoio_temperatura_2,18.696276856805557,2026-01-03T19:00:00.000Z
sensor.corridoio_temperatura_2,18.624059371880556,2026-01-03T20:00:00.000Z
sensor.corridoio_temperatura_2,18.533698657730554,2026-01-03T21:00:00.000Z
sensor.corridoio_temperatura_2,18.427733445125,2026-01-03T22:00:00.000Z
sensor.corridoio_temperatura_2,18.310402073630556,2026-01-03T23:00:00.000Z
sensor.corridoio_temperatura_2,18.184805586944446,2026-01-04T00:00:00.000Z
sensor.corridoio_temperatura_2,18.062621288558333,2026-01-04T01:00:00.000Z
sensor.corridoio_temperatura_2,18.02179951595278,2026-01-04T02:00:00.000Z
sensor.corridoio_temperatura_2,17.978799083322222,2026-01-04T03:00:00.000Z
sensor.corridoio_temperatura_2,17.913383529269446,2026-01-04T04:00:00.000Z
sensor.corridoio_temperatura_2,17.85661917061111,2026-01-04T05:00:00.000Z
sensor.corridoio_temperatura_2,17.820738899494444,2026-01-04T06:00:00.000Z
sensor.corridoio_temperatura_2,17.769887277516666,2026-01-04T07:00:00.000Z
sensor.corridoio_temperatura_2,17.75616673913611,2026-01-04T08:00:00.000Z
sensor.corridoio_temperatura_2,17.871141296055555,2026-01-04T09:00:00.000Z
sensor.corridoio_temperatura_2,17.979311629608336,2026-01-04T10:00:00.000Z
sensor.corridoio_temperatura_2,18.087722797444446,2026-01-04T11:00:00.000Z
sensor.corridoio_temperatura_2,18.192337174680556,2026-01-04T12:00:00.000Z
sensor.corridoio_temperatura_2,18.327788836669445,2026-01-04T13:00:00.000Z
sensor.corridoio_temperatura_2,18.644193209408332,2026-01-04T14:00:00.000Z
sensor.corridoio_temperatura_2,18.98674282612222,2026-01-04T15:00:00.000Z
sensor.corridoio_temperatura_2,19.213781929347224,2026-01-04T16:00:00.000Z
sensor.corridoio_temperatura_2,19.458543625325,2026-01-04T17:00:00.000Z
sensor.corridoio_temperatura_2,19.449002344066667,2026-01-04T18:00:00.000Z
